TreeID,date,percent_lichen,green_sp,lightgreen_sp,grey_sp,orange_sp,moth_presence 
29,30-12-2020,0,0,0,0,0,0
60,26-12-2020,15,0,0,1,0,1
61,26-12-2020,20,0,1,0,1,0
171,30-12-2020,0,0,0,0,0,0
172,30-12-2020,0,0,0,0,0,0
180,30-12-2020,0,0,0,0,0,0
240,26-12-2020,1,0,0,1,0,0
242,26-12-2020,1,0,0,1,0,0
270,30-12-2020,2,0,1,1,0,1
271,30-12-2020,5,0,1,1,0,0
272,30-12-2020,2,0,1,1,0,0
273,30-12-2020,0,0,0,0,0,0
275,30-12-2020,1,0,0,0,0,0
282,26-12-2020,10,0,0,1,0,0
290,30-12-2020,20,0,1,1,0,0
290,26-12-2020,30,1,0,1,1,0
293,26-12-2020,40,1,0,1,0,0
294,26-12-2020,40,1,0,1,0,0
297,30-12-2020,20,0,1,1,0,0
300,26-12-2020,0,0,0,0,0,0
301,26-12-2020,0,0,0,0,0,0
302,26-12-2020,0,0,0,0,0,0
303,26-12-2020,0,0,0,0,0,0
307,30-12-2020,20,0,1,1,0,1
307,26-12-2020,0,0,0,0,0,0
308,26-12-2020,0,0,0,0,0,0
309,30-12-2020,20,0,1,1,0,1
311,30-12-2020,20,0,1,1,0,0
311,26-12-2020,0,0,0,0,0,0
313,26-12-2020,0,0,0,0,0,0
314,30-12-2020,30,0,1,1,0,0
319,26-12-2020,0,0,0,0,0,0
320,26-12-2020,0,0,0,0,0,0
323,30-12-2020,0,0,0,0,0,0
329,30-12-2020,20,0,0,1,0,0
330,30-12-2020,2,0,0,1,0,0
337,26-12-2020,0,0,0,0,0,0
338,26-12-2020,0,0,0,0,0,0
339,26-12-2020,0,0,0,0,0,0
340,26-12-2020,0,0,0,0,0,0
341,26-12-2020,0,0,0,0,0,0
344,30-12-2020,20,0,1,1,0,0
358,26-12-2020,30,1,0,1,0,0
375,26-12-2020,15,1,0,1,0,0
376,26-12-2020,20,1,0,1,0,0
377,26-12-2020,20,1,0,1,0,0
379,26-12-2020,20,1,0,1,0,0
381,26-12-2020,20,1,0,1,0,0
382,26-12-2020,25,1,0,1,0,0
384,26-12-2020,20,1,0,1,0,0
385,26-12-2020,15,1,0,1,0,0
385,26-12-2020,10,0,0,0,0,0
386,26-12-2020,10,0,0,0,0,0
388,26-12-2020,15,1,0,1,0,0
390,26-12-2020,20,1,0,1,0,0
393,26-12-2020,20,1,0,1,0,0
394,26-12-2020,20,1,0,1,0,0
396,26-12-2020,20,1,0,1,0,0
398,26-12-2020,20,1,0,1,0,1
