TreeID,date,spp,DBH (in),CW (ft),conks,trunk scar,dead/broken branches,poor branch health,comments
627,10-Nov,olirus,7.5,14.16,0,0,0,0,
629,10-Nov,olirus,8.7,10.83,0,1,0,0,
630,10-Nov,olirus,7.5,12.5,0,0,1,0,
631,10-Nov,olirus,5,5,0,3,1,1,trunk cut; one living branch
642,10-Nov,olirus,11.3,28.32,0,0,1,0,
643,10-Nov,olirus,8.7,25,0,1,1,0,
641,10-Nov,pinaus,6.8,10,0,0,1,0,
652,10-Nov,olirus,9.25,21.66,0,1,0,0,
649,10-Nov,olirus,9,16.66,0,1,0,0,
646,10-Nov,olirus,11.5,18.33,0,1,1,0,
650,10-Nov,olirus,6,28.32,0,2,0,0,
651,10-Nov,olirus,8.3,14.16,0,1,0,0,
648,10-Nov,olirus,7,10.83,0,1,0,0,stripped bark on branch
647,10-Nov,olirus,,,,,,,
654,10-Nov,olirus,7.13,13.33,0,0,1,0,
655,10-Nov,olirus,12.25,20,0,2,1,0,
656,10-Nov,olirus,8,13.33,0,1,1,0,stripped bark on branch
657,10-Nov,olirus,10.6,25,0,1,0,0,
658,10-Nov,olirus,14,28.32,0,1,1,0,
659,10-Nov,olirus,25.5,20.33,0,2,1,0,trunk split
660,10-Nov,olirus,16,47.49,0,1,1,0,
661,10-Nov,olirus,6.5,11.66,0,1,0,0,
662,10-Nov,olirus,11.4,14.16,0,1,0,0,
663,10-Nov,olirus,10.25,10.83,0,1,2,1,
664,10-Nov,olirus,21.5,32.49,0,0,1,0,trunk split near bottom
665,10-Nov,olirus,9.7,27.49,0,1,1,0,trunk split near bottom
1270,6-11-2020,ginkgo,,,,,,,removed
1268,06-Nov,peapea,3.8,11,0,1,0,0,
1347,06-Nov,appcra,7.2,15,0,0,0,1,
1346,06-Nov,appcra,6.4,16,0,2,1,1,
1325,06-Nov,appcra,3.5,12,0,0,0,0,
1324,06-Nov,appcra,3.8,13,0,1,0,0,
1323,06-Nov,appcra,3.8,11,0,1,0,0,
1317,06-Nov,appcra,2.2,9,0,1,0,0,
1316,06-Nov,appcra,2.9,14,0,1,0,0,
1314,06-Nov,appcra,2.2,12,0,0,1,0,
1312,06-Nov,appcra,4.8,14,0,2,0,0,
1310,06-Nov,appcra,5.4,17,0,1,0,0,holes in bark
1308,06-Nov,appcra,6,21,0,0,0,0,
1307,06-Nov,appcra,6.7,17,0,0,0,0,
