Tree_Tag_N,Status,Species_Co,Common_Nam,Genus,Species,Ownership,Location_C,DBH,Number_of_,Percentage,Crown_Widt,Total_Heig,Latitude,Longitude,subway,subway_dist,density_10m
30,alive,mapred,Red Maple,Acer,rubrum,p,fy,27,1,40,13,14,43.77467,-79.503217,within,48.86276536,4
181,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,sr,33,1,0,8,9,43.775781,-79.502671,within,82.0805789,6
183,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,sr,17,2,0,7,8,43.775689,-79.502613,within,74.31416149,4
238,alive,mapred,Red Maple,Acer,rubrum,p,fy,5,1,0,1,3,43.777047,-79.503032,out,202.1089001,6
239,alive,mapred,Red Maple,Acer,rubrum,p,fy,6,1,0,2,5,43.77703,-79.503096,within,198.4576911,7
240,alive,mapred,Red Maple,Acer,rubrum,p,fy,5,1,0,1,4,43.777016,-79.503172,within,194.7683428,6
258,alive,mapred,Red Maple,Acer,rubrum,p,sl,5,1,0,2,6,43.776776,-79.503213,within,168.749972,3
259,alive,mapred,Red Maple,Acer,rubrum,p,sl,6,1,0,3,7,43.776721,-79.503191,within,163.7185442,4
260,alive,mapred,Red Maple,Acer,rubrum,p,sl,4,1,0,2,5,43.776647,-79.503151,within,157.2568837,3
1303,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,sr,9,1,0,4,5,43.779878,-79.497895,out,646.4438616,4
1668,alive,mapred,Red Maple,Acer,rubrum,p,by,6,1,0,1.5,4,43.775095,-79.502687,within,10.801081,2
1669,alive,mapred,Red Maple,Acer,rubrum,p,by,9.5,1,0,8,6,43.775047,-79.502732,within,4.505515982,3
1670,alive,mapred,Red Maple,Acer,rubrum,p,by,10.5,1,0,5,7,43.774997,-79.502776,within,1.966660785,3
1671,alive,mapred,Red Maple,Acer,rubrum,p,by,9,1,0,5,4,43.774946,-79.502818,within,8.482428737,3
1672,alive,mapred,Red Maple,Acer,rubrum,p,by,10,1,0,7,8,43.774898,-79.502861,within,14.71837481,3
1673,alive,mapred,Red Maple,Acer,rubrum,p,by,9.5,1,0,6,8,43.774847,-79.502905,within,21.29376359,3
1849,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,fy,8.917197,1,0,2,5.5,43.780028,-79.496631,out,698.4664835,10
290,alive,mapred,Red Maple,Acer,rubrum,p,n,9.5,1,0,6,11,43.77529565,-79.50898558,within,154.1157844,9
624,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,19.3,2,0,11,9,43.77785845,-79.50856452,within,123.6411323,19
625,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,14.2,2,0,9,7,43.77792807,-79.50860553,within,129.6346964,23
626,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,15.5,2,0,12,9,43.77794706,-79.50863662,within,130.6813667,18
627,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,17,1,0,6,12,43.77795094,-79.50860496,within,132.0159863,18
628,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,11.5,1,0,7,7,43.77793476,-79.50856985,within,131.3783647,21
629,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,21.5,1,0,15,11,43.7779578,-79.50858309,within,133.370051,17
630,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,17,1,0,9,13,43.77791999,-79.5085334,within,130.921994,25
631,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,11.5,1,0,4,11,43.77792644,-79.50848063,within,133.1252835,26
632,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,16.5,1,0,10,12,43.77792589,-79.5084379,within,134.3113088,27
633,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,9,3,0,8,9,43.77792722,-79.50841223,within,135.1958328,28
642,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,22.292994,1,0,9,10,43.77797849,-79.50850794,within,137.7232609,19
643,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,w,12.420382,2,0,7,7,43.77798158,-79.50856212,within,136.4469048,15
646,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,21.6,2,0,10,11,43.77800016,-79.508416,within,142.6427984,20
647,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,15.5,2,0,0,7.5,43.77790589,-79.50831838,within,135.7161137,21
648,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,12,1,0,3,6,43.77792452,-79.50832186,within,137.5449608,23
649,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,14.3,2,0,2,7.5,43.77800928,-79.50838454,within,144.5028012,15
650,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,14,1,0,2,9,43.77801455,-79.5083318,within,146.5829736,13
651,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,17.8,1,0,4,10,43.77802614,-79.50830686,within,148.5092058,11
652,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,nw,17.8,2,0,3,8.5,43.77802583,-79.50828385,within,149.1464474,10
654,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,18.5,1,0,6,7,43.77806777,-79.50812006,within,158.2560974,8
655,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,17.2,2,0,6,5.5,43.77807098,-79.50809203,within,159.4040483,11
656,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,13.9,2,0,8,5,43.77805983,-79.50805943,within,159.1972379,15
657,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,23.4,1,0,8.5,10,43.77807099,-79.50800162,within,162.0351174,16
658,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,19,2,0,11,7.5,43.77808132,-79.50797177,within,163.9736505,13
659,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,29,4,0,14,9,43.77809267,-79.50792875,within,166.400974,10
660,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,20,2,0,25,9,43.77809462,-79.50789582,within,167.5609345,10
661,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,15.5,2,0,12,8,43.77810133,-79.50786277,within,169.2175247,9
662,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,24.3,3,0,10,9.5,43.77809954,-79.50781679,within,170.3696493,10
663,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,18,2,0,9,8.5,43.77811604,-79.50780323,within,172.4735199,9
664,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,24.5,2,0,11,10,43.77811789,-79.50776208,within,173.8622458,11
665,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,19,3,0,15,10,43.77813835,-79.5076876,within,178.1485571,6
666,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,18,2,0,11,9,43.77814617,-79.50764795,within,180.1121451,6
667,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,15,1,0,10,9,43.77815486,-79.50758362,within,182.8838185,8
668,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,24,1,0,9,9.5,43.77816502,-79.50754063,within,185.1869964,9
669,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,12,2,0,4,9,43.77817526,-79.5075042,within,187.3076298,10
670,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,21.1,2,0,10,8,43.77819166,-79.50748243,within,189.6399743,9
671,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,14.5,2,0,3,6.5,43.77818653,-79.50745461,within,189.9178038,10
672,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,19,1,0,6,6,43.7781945,-79.50742646,within,191.5623968,9
674,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,17.3,2,0,9,7.5,43.77819872,-79.50738526,within,193.1981219,10
675,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,16,3,0,4,7.5,43.77820776,-79.50734722,within,195.2412747,10
676,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,16.5,2,0,12,9.5,43.77822274,-79.50730904,within,197.9038862,9
677,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,15,1,0,0,5,43.77823436,-79.50726864,within,200.2829833,7
678,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,25.5,1,0,16,12,43.77824253,-79.50723687,out,202.0536081,8
679,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,20.5,2,0,15,9,43.77823926,-79.50720539,out,202.630612,11
680,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,25,1,0,10,12.5,43.77825817,-79.5071944,out,204.9093973,9
681,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,18.5,1,0,14,9,43.77825383,-79.50715374,out,205.6426035,11
682,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,14.5,1,0,10,7,43.77826898,-79.50714679,out,207.4143257,9
683,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,25,1,0,11,6,43.77826838,-79.50710077,out,208.6909246,10
684,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,10.2,2,0,2,5,43.7782843,-79.50707933,out,210.963945,7
685,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,10.2,2,0,9,6.5,43.77828766,-79.50704505,out,212.3092756,6
686,alive,olirus,Russian Olive,Elaeagnus,angustifolia,c,n,23,1,0,11,8,43.77829378,-79.50700282,out,214.1718159,4
1086,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,n,9.8,1,0,5,14,43.77333559,-79.50992743,out,384.5792007,6
1094,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,n,15,2,0,10,9,43.77383195,-79.51015349,out,339.7317956,3
1129,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,n,16.5,2,30,14,10,43.77386807,-79.50972154,out,323.4241162,2
1130,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,n,14,1,0,12,10,43.77381714,-79.50969815,out,328.0200981,3
1146,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,n,24.7,2,0,0,11,43.77352818,-79.50943543,out,350.3139513,3
