OBJECTID,FID_,Date,Block,Street_or_,Building_C,Tree_Tag_N,Status,Species_Co,Common_Nam,Genus,Species,Ownership,Location_C,DBH,Number_of_,Percentage,Crown_Widt,Total_Heig,Latitude,Longitude,Height_to_,Unbalanced,Reduced_Cr,Weak_Yello,Defoliatio,Dead_Broke,Poor_Branc,Lean,Trunk_Scar,Branch_Sca,Conks,Rot_Cavity,Rot_Cavi_1,Crack,Confined_S,Girdling_R,Recent_Tre,Conflict_w,Conflict_1,Conflict_2,Conflict_3,Conflict_4,Cable_Brac,Comments,Additional,Replacemen,New_Specie,Transparen,locale,subway,sbwy100
30,29,9/7/2012,A,Stedman Lecture Hall,22,30,alive,mapred,Red Maple,Acer,rubrum,p,fy,27,1,40,13,14,43.77467,-79.503217,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,central,within,within
181,180,9/7/2012,A,Founders College,50,181,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,sr,33,1,0,8,9,43.775781,-79.502671,6,0,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Broken branches,,,,0,central,within,within
183,182,9/7/2012,A,Founders College,50,183,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,sr,17,2,0,7,8,43.775689,-79.502613,5,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,central,within,within
238,237,8/20/2012,A,McLaughlin College,51,238,alive,mapred,Red Maple,Acer,rubrum,p,fy,5,1,0,1,3,43.777047,-79.503032,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,periph,out,
239,238,8/20/2012,A,McLaughlin College,51,239,alive,mapred,Red Maple,Acer,rubrum,p,fy,6,1,0,2,5,43.77703,-79.503096,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,periph,within,
240,239,8/20/2012,A,McLaughlin College,51,240,alive,mapred,Red Maple,Acer,rubrum,p,fy,5,1,0,1,4,43.777016,-79.503172,3,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,periph,within,
258,257,8/20/2012,A,McLaughlin College,51,258,alive,mapred,Red Maple,Acer,rubrum,p,sl,5,1,0,2,6,43.776776,-79.503213,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,n,n,n,n,n,,,,,0,periph,within,
259,258,8/20/2012,A,McLaughlin College,51,259,alive,mapred,Red Maple,Acer,rubrum,p,sl,6,1,0,3,7,43.776721,-79.503191,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,n,n,,,,,0,periph,within,
260,259,8/20/2012,A,McLaughlin College,51,260,alive,mapred,Red Maple,Acer,rubrum,p,sl,4,1,0,2,5,43.776647,-79.503151,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,periph,within,
1303,1302,8/1/2012,A,Stong Barn,101,1303,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,sr,9,1,0,4,5,43.779878,-79.497895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,periph,out,
1668,1667,9/7/2012,A,Vanier College Park,105,1668,alive,mapred,Red Maple,Acer,rubrum,p,by,6,1,0,1.5,4,43.775095,-79.502687,1.5,1,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,central,within,within
1669,1668,9/7/2012,A,Vanier College Park,105,1669,alive,mapred,Red Maple,Acer,rubrum,p,by,9.5,1,0,8,6,43.775047,-79.502732,2.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,n,n,n,n,n,n,,,,,0,central,within,within
